State_Name,District_Name,Crop_Year,Season,Crop,Cost
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Arecanut,416.9440698
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Other Kharif pulses,132.4969838
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Rice,121.0127136
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Banana,26.09135545
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Cashewnut,462
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Coconut ,216
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Dry ginger,145
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sugarcane,138.7237844
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sweet potato,135.5075357
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Tapioca,140.9508046
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Arecanut,401.1079348
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Other Kharif pulses,131.4225057
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Rice,147.3013867
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Cashewnut,441
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Coconut ,121
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Dry ginger,143
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sugarcane,147.811231
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sweet potato,155.9507669
Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,114.6625472
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Arecanut,372.9496117
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Banana,23.16768276
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Black pepper,878.5974027
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Cashewnut,418
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Coconut ,146
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry chillies,102
